user_no,question_id,question,id,duration,keep,reason
297,51,Describe a situation where you had to adapt to a change in the work environment.,1458,long,True,kept: latest id in group
300,1,Introduce yourself,48,short,False,dropped: earlier retake
300,1,Introduce yourself,120,short,True,kept: latest id in group
301,1,Introduce yourself,99,short,False,dropped: earlier retake
301,1,Introduce yourself,106,short,True,kept: latest id in group
304,1,Introduce yourself,61,long,False,dropped: earlier retake
304,1,Introduce yourself,103,long,True,kept: latest id in group
306,76,Tell me about yourself,230,medium,False,dropped: earlier retake
306,76,Tell me about yourself,302,medium,True,kept: latest id in group
308,1,Introduce yourself,90,short,False,dropped: earlier retake
308,1,Introduce yourself,125,short,True,kept: latest id in group
314,1,Introduce yourself,6,medium,False,dropped: earlier retake
314,1,Introduce yourself,13,medium,True,kept: latest id in group
318,76,Tell me about yourself,331,short,False,dropped: earlier retake
318,76,Tell me about yourself,360,short,True,kept: latest id in group
321,30,Tell me about a time when you recognized and capitalized on the unique strengths of individual team members to achieve a common goal.,973,medium,False,dropped: earlier retake
321,30,Tell me about a time when you recognized and capitalized on the unique strengths of individual team members to achieve a common goal.,979,medium,True,kept: latest id in group
331,76,Tell me about yourself,227,medium,False,dropped: earlier retake
331,76,Tell me about yourself,293,long,False,dropped: earlier retake
331,76,Tell me about yourself,368,long,True,kept: latest id in group
